position,slug,name,metadata,intro,below_tool_content,faqs,relatedSlugs,safety,duplicate_slugs_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,remaining_issues
21,gamertag-generator,Gamertag Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,gaming-name-generator|username-generator|display-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
22,gnome-name-generator,Gnome Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fantasy-name-generator|clan-name-generator|pirate-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
23,html-code-generator,HTML Code Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,css-code-generator|css-button-generator|form-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
24,invisible-text-generator,Invisible Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fancy-text-generator|bold-text-generator|cursive-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
25,letterhead-generator,Letterhead Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,business-card-generator|logo-generator|proposal-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
26,logo-generator,Logo Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,brand-kit-generator|app-icon-generator|business-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
27,mermaid-name-generator,Mermaid Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fantasy-name-generator|clan-name-generator|pirate-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
28,meta-description-generator,Meta Description Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,seo-title-generator|meta-tag-generator|keyword-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
29,monster-name-generator,Monster Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fantasy-name-generator|clan-name-generator|pirate-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
30,mood-board-generator,Mood Board Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,color-palette-generator|brand-kit-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
31,pen-name-generator,Pen Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,name-generator|username-generator|team-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
32,pet-name-generator,Pet Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,dog-name-generator|cat-name-generator|horse-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
33,pixel-text-generator,Pixel Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fancy-text-generator|bold-text-generator|cursive-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
34,playlist-name-generator,Playlist Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,song-name-generator|album-name-generator|podcast-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
35,proposal-generator,Proposal Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,estimate-generator|quotation-generator|business-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
36,qr-code-generator,QR Code Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,qr-code-text-generator|short-code-generator|lorem-ipsum-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
37,retro-text-generator,Retro Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fancy-text-generator|bold-text-generator|cursive-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
38,robot-name-generator,Robot Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,scifi-name-generator|spaceship-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
39,ship-name-generator,Ship Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,pirate-name-generator|spaceship-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
40,short-code-generator,Short Code Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,lorem-ipsum-generator|text-case-converter|word-counter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
41,sigil-generator,Sigil Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fantasy-map-generator|logo-generator|pattern-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
42,sitemap-generator,Sitemap Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,robots-txt-generator|breadcrumb-generator|canonical-tag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
43,spaceship-name-generator,Spaceship Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,scifi-name-generator|planet-name-generator|robot-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
44,sports-team-name-generator,Sports Team Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,team-name-generator|club-name-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
45,tattoo-name-generator,Tattoo Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fancy-text-generator|bold-text-generator|cursive-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
46,typewriter-text-generator,Typewriter Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,fancy-text-generator|bold-text-generator|cursive-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
47,dnd-character-generator,D&D Character Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,dnd-name-generator|dungeon-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
48,dungeon-generator,Dungeon Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,dungeon-name-generator|dnd-character-generator|fantasy-map-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
49,gaming-name-generator,Gaming Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,gamertag-generator|username-generator|clan-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
50,hashtag-generator,Hashtag Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,keyword-generator|youtube-tag-generator|pinterest-tag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
